Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status
Ryan Hendrix,Reds,pitcher,sa738145,35,4.44,1.46,0,2,37,-1.94,-9.35,
A.J. Cole,NA,pitcher,11467,40,4.99,1.41,0,2,39,-1.95,-9.370000000000001,
Art Warren,Rangers,pitcher,18251,32,4.33,1.43,0,2,33,-1.96,-9.4,
Huascar Ynoa,Braves,pitcher,20468,39,4.56,1.46,0,2,37,-1.97,-9.42,
Jake Faria,NA,pitcher,13699,40,4.84,1.42,0,2,37,-1.97,-9.42,
Dillon Peters,Angels,pitcher,18790,30,4.28,1.34,0,2,26,-1.97,-9.42,
Andre Scrubb,Astros,pitcher,20329,50,4.76,1.53,0,2,48,-1.97,-9.42,
Jake Newberry,Royals,pitcher,15136,53,5.07,1.49,0,2,49,-1.97,-9.43,
Tyler Kinley,Rockies,pitcher,18297,53,5,1.54,0,2,54,-1.98,-9.45,
Ben Heller,Yankees,pitcher,15100,35,4.75,1.41,0,2,35,-1.98,-9.46,
Humberto Mejia,Diamondbacks,pitcher,20739,48,5.09,1.43,0,2,41,-1.98,-9.46,
Mitchell White,Dodgers,pitcher,19225,37,4.7,1.39,0,2,31,-2.01,-9.530000000000001,
Jhoulys Chacin,Braves,pitcher,2608,56,5.39,1.5,0,3,44,-2.02,-9.55,
Miguel Romero,Athletics,pitcher,sa3003109,35,4.5,1.43,0,2,32,-2.02,-9.559999999999999,
Dan Winkler,Cubs,pitcher,12237,53,4.98,1.51,0,2,48,-2.02,-9.559999999999999,
Wade LeBlanc,NA,pitcher,5221,66,5.54,1.48,0,3,47,-2.02,-9.559999999999999,
Tyler Wells,Orioles,pitcher,sa918346,42,5.17,1.42,0,2,39,-2.04,-9.61,
Jonathan Holder,Cubs,pitcher,16588,35,4.7,1.4,0,2,31,-2.04,-9.620000000000001,
Tyler Beede,Giants,pitcher,16981,36,4.69,1.44,0,2,34,-2.05,-9.629999999999999,
Logan Gilbert,NA,pitcher,sa3008598,28,4.6,1.33,0,2,26,-2.06,-9.66,
Cameron Hill,Indians,pitcher,16840,35,4.8,1.43,0,2,34,-2.06,-9.68,
Johan Quezada,Phillies,pitcher,20643,42,4.7,1.51,0,2,40,-2.06,-9.68,
Chaz Roe,NA,pitcher,9866,32,4.62,1.43,0,2,32,-2.07,-9.690000000000001,
Ryan Sherriff,Rays,pitcher,12249,38,4.59,1.44,0,2,31,-2.08,-9.719999999999999,
Jimmy Herget,Rangers,pitcher,17556,55,5.19,1.52,0,2,51,-2.09,-9.75,
Tyler Zuber,Royals,pitcher,20379,35,4.79,1.46,0,2,35,-2.1,-9.780000000000001,
Adonis Medina,Phillies,pitcher,19903,55,5.33,1.53,0,3,43,-2.1,-9.780000000000001,
Jhoan Duran,Twins,pitcher,sa873347,38,4.69,1.47,0,2,34,-2.11,-9.8,
Jose Castillo,Padres,pitcher,17169,20,3.46,1.23,0,1,25,-2.12,-9.84,
T.J. Zeuch,Blue Jays,pitcher,19269,63,5.1,1.54,0,3,41,-2.12,-9.84,
Jairo Diaz,Rockies,pitcher,12774,40,4.81,1.48,0,2,36,-2.12,-9.85,
Travis Lakins,Orioles,pitcher,18600,42,4.97,1.48,0,2,38,-2.14,-9.879999999999999,
Zac Lowther,Orioles,pitcher,sa915645,55,5.48,1.55,0,3,46,-2.17,-9.969999999999999,
Steve Cishek,NA,pitcher,6483,38,4.97,1.47,0,2,34,-2.2,-10.059999999999999,
John Schreiber,Tigers,pitcher,20020,37,5.04,1.45,0,2,33,-2.2,-10.059999999999999,
Marcus Walden,Red Sox,pitcher,8004,35,4.69,1.47,0,2,30,-2.21,-10.08,
Alec Bettinger,Brewers,pitcher,sa873670,36,5.12,1.42,0,2,31,-2.21,-10.09,
Kodi Whitley,Cardinals,pitcher,19731,38,4.88,1.47,0,2,32,-2.22,-10.11,
Andrew Suarez,Giants,pitcher,18300,46,4.82,1.48,0,2,32,-2.23,-10.129999999999999,
Brad Peacock,NA,pitcher,5401,24,4.25,1.3,0,1,27,-2.23,-10.15,
Touki Toussaint,Braves,pitcher,16929,25,4.04,1.36,0,1,28,-2.24,-10.16,
Steven Wright,NA,pitcher,8185,65,5.48,1.55,0,3,47,-2.25,-10.190000000000001,
Sam Coonrod,Giants,pitcher,17264,25,3.95,1.35,0,1,26,-2.25,-10.2,
Jose Quijada,Angels,pitcher,19200,26,4.23,1.38,0,1,30,-2.25,-10.2,
Chris Mazza,Red Sox,pitcher,14151,38,4.97,1.45,0,2,30,-2.25,-10.2,
Yoshihisa Hirano,NA,pitcher,19756,45,5.06,1.5,0,2,37,-2.25,-10.21,
Kent Emanuel,Astros,pitcher,sa549399,25,3.92,1.31,0,1,23,-2.26,-10.21,
Geoff Hartlieb,Pirates,pitcher,19558,33,4.43,1.52,0,2,29,-2.26,-10.21,
Pedro Strop,NA,pitcher,4070,40,4.92,1.5,0,2,34,-2.26,-10.219999999999999,
Josiah Gray,NA,pitcher,sa3007475,28,4.87,1.37,0,2,23,-2.26,-10.219999999999999,
Cory Abbott,Cubs,pitcher,sa3005305,37,5.09,1.47,0,2,33,-2.26,-10.23,
JoJo Romero,Phillies,pitcher,19574,29,4.55,1.45,0,2,25,-2.26,-10.23,
Jordan Holloway,Marlins,pitcher,20631,35,4.52,1.56,0,2,33,-2.27,-10.25,
Sean Newcomb,Braves,pitcher,16943,25,4.11,1.35,0,1,26,-2.29,-10.29,
Ryne Harper,Nationals,pitcher,12680,30,4.42,1.35,0,1,26,-2.3,-10.33,
Brad Brach,Mets,pitcher,6627,50,5.07,1.55,0,2,42,-2.31,-10.35,
Phillip Diehl,Rockies,pitcher,20030,33,5.01,1.48,0,2,30,-2.32,-10.39,
Dennis Santana,Dodgers,pitcher,17878,25,4.21,1.36,0,1,26,-2.32,-10.39,
Jorge Guzman,Marlins,pitcher,17505,56,5.21,1.58,0,2,50,-2.33,-10.41,
Zack Burdi,White Sox,pitcher,19159,27,4.51,1.41,0,1,31,-2.33,-10.42,
Jordan Yamamoto,Marlins,pitcher,17585,33,5.04,1.46,0,2,28,-2.34,-10.440000000000001,
Cole Sulser,Orioles,pitcher,15256,30,4.71,1.41,0,1,31,-2.36,-10.51,
Brandon Morrow,NA,pitcher,9346,18,3.72,1.24,0,1,19,-2.37,-10.52,
Parker Dunshee,NA,pitcher,sa873274,28,5.13,1.41,0,2,23,-2.39,-10.58,
Luis Garcia,Astros,pitcher,23735,28,5.02,1.49,0,2,27,-2.4,-10.61,
Thomas Szapucki,Mets,pitcher,sa875054,28,4.81,1.48,0,2,24,-2.4,-10.620000000000001,
Zack Godley,NA,pitcher,14862,33,5.11,1.49,0,2,28,-2.42,-10.65,
Scott Alexander,Dodgers,pitcher,10591,24,3.61,1.41,0,1,20,-2.42,-10.67,
Bryan Abreu,Astros,pitcher,16609,25,4.36,1.44,0,1,28,-2.43,-10.68,
Bud Norris,NA,pitcher,9492,25,4.48,1.4,0,1,26,-2.44,-10.719999999999999,
Taylor Williams,Padres,pitcher,14899,25,4.28,1.4,0,1,24,-2.44,-10.73,
John Gant,Cardinals,pitcher,13684,28,4.35,1.44,0,1,25,-2.48,-10.82,
Kyle Keller,Angels,pitcher,18890,22,4.4,1.37,0,1,23,-2.48,-10.82,
Kelvin Herrera,NA,pitcher,6033,30,4.87,1.4,0,1,27,-2.48,-10.84,
Packy Naughton,NA,pitcher,sa913120,28,5.11,1.43,0,2,20,-2.49,-10.85,
J.P. Feyereisen,Brewers,pitcher,16610,28,4.72,1.45,0,1,29,-2.49,-10.85,
Trevor Stephan,Indians,pitcher,sa918441,22,4.58,1.34,0,1,22,-2.5,-10.879999999999999,
Dany Jimenez,Athletics,pitcher,21170,29,4.62,1.45,0,1,27,-2.51,-10.91,
Andrew Kittredge,NA,pitcher,12828,15,3.73,1.25,0,1,16,-2.52,-10.93,
Oliver Drake,NA,pitcher,8823,20,4.21,1.36,0,1,20,-2.52,-10.95,
Michael Baumann,Orioles,pitcher,sa829681,65,5.82,1.59,0,3,50,-2.53,-10.95,
Miguel Yajure,Yankees,pitcher,21111,27,4.7,1.4,0,1,24,-2.53,-10.95,
Ben Braymer,Nationals,pitcher,20175,33,5.19,1.51,0,2,26,-2.53,-10.96,
Bernardo Flores Jr.,White Sox,pitcher,19561,22,4.28,1.35,0,1,18,-2.55,-11.02,
T.J. McFarland,NA,pitcher,3237,40,4.76,1.55,0,2,24,-2.56,-11.04,
Yoan Lopez,Diamondbacks,pitcher,17181,28,4.75,1.43,0,1,25,-2.56,-11.04,
Cole Irvin,Phillies,pitcher,19244,22,4.54,1.33,0,1,18,-2.57,-11.08,
Sean Reid-Foley,Blue Jays,pitcher,17034,20,4.39,1.42,0,1,22,-2.58,-11.1,
Josh James,Astros,pitcher,16794,12,3.74,1.26,0,1,16,-2.59,-11.14,
Aaron Slegers,Rays,pitcher,15231,22,4.61,1.34,0,1,17,-2.62,-11.219999999999999,
Scott Oberg,Rockies,pitcher,13911,22,4.46,1.42,0,1,20,-2.63,-11.23,
Cody Allen,NA,pitcher,12183,28,5.13,1.46,0,1,28,-2.63,-11.24,
Corey Oswalt,Mets,pitcher,13677,24,4.82,1.38,0,1,20,-2.63,-11.25,
Joe Ryan,NA,pitcher,sa3007584,18,4.67,1.33,0,1,18,-2.64,-11.26,
Javier Guerra,Padres,pitcher,17292,14,3.88,1.32,0,1,15,-2.64,-11.27,
Dereck Rodriguez,NA,pitcher,14509,61,5.99,1.57,0,3,43,-2.65,-11.29,
Luis Avilan,NA,pitcher,2882,22,4.36,1.45,0,1,20,-2.65,-11.29,
Josh Sborz,Dodgers,pitcher,18323,14,4.09,1.3,0,1,15,-2.65,-11.3,
Nick Tropeano,NA,pitcher,12385,20,4.77,1.37,0,1,19,-2.66,-11.32,
James Norwood,Cubs,pitcher,16440,20,4.58,1.46,0,1,22,-2.66,-11.32,
Bobby Wahl,Brewers,pitcher,14832,15,4.39,1.36,0,1,17,-2.68,-11.379999999999999,
Blake Cederlind,Pirates,pitcher,20344,24,4.58,1.5,0,1,23,-2.68,-11.39,
Drew Smith,Mets,pitcher,17755,20,4.64,1.4,0,1,18,-2.69,-11.42,
Reggie Lawson,NA,pitcher,sa598828,19,4.13,1.25,0,0,19,-2.7,-11.43,
Joey Gerber,Mariners,pitcher,24591,22,4.74,1.44,0,1,20,-2.71,-11.45,
Yohan Ramirez,Mariners,pitcher,19444,18,4.46,1.5,0,1,21,-2.71,-11.469999999999999,
Josh Osich,Reds,pitcher,11528,18,4.54,1.4,0,1,17,-2.71,-11.469999999999999,
Tony Santillan,Reds,pitcher,sa874781,37,5.66,1.55,0,2,29,-2.72,-11.48,
Paul Campbell,Marlins,pitcher,sa3005052,22,4.64,1.41,0,1,17,-2.72,-11.49,
Tyler Ivey,Astros,pitcher,sa3004574,18,4.7,1.39,0,1,17,-2.73,-11.51,
Jeffrey Springs,Red Sox,pitcher,17677,12,4.19,1.32,0,1,14,-2.73,-11.52,
Kyle Hart,NA,pitcher,19646,27,5.46,1.53,0,2,20,-2.73,-11.52,
Chi Chi Gonzalez,NA,pitcher,14663,33,5.49,1.56,0,2,25,-2.74,-11.530000000000001,
Luis Garcia,Yankees,pitcher,6984,18,4.5,1.43,0,1,17,-2.74,-11.54,
Beau Burrows,Tigers,pitcher,18873,29,5.31,1.47,0,1,26,-2.74,-11.55,
Brett de Geus,Rangers,pitcher,sa3006813,42,5.22,1.63,0,2,32,-2.74,-11.559999999999999,
Taylor Guilbeau,Diamondbacks,pitcher,18306,25,4.54,1.5,0,1,20,-2.74,-11.559999999999999,
Dillon Maples,Cubs,pitcher,14672,12,3.77,1.48,0,1,16,-2.75,-11.58,
Brailyn Marquez,Cubs,pitcher,21896,24,4.72,1.53,0,1,23,-2.76,-11.58,
Eli Morgan,Indians,pitcher,sa915827,24,5.28,1.4,0,1,20,-2.76,-11.59,
Dominic Leone,NA,pitcher,13763,12,4.14,1.34,0,1,13,-2.76,-11.61,
Garrett Whitlock,Red Sox,pitcher,sa3005306,16,4.39,1.4,0,1,14,-2.78,-11.65,
Seth Elledge,Cardinals,pitcher,19766,20,4.68,1.49,0,1,19,-2.79,-11.67,
Kevin McCarthy,Red Sox,pitcher,15240,28,4.72,1.49,0,1,19,-2.79,-11.690000000000001,
Andrew Triggs,NA,pitcher,13533,15,4.59,1.38,0,1,14,-2.79,-11.690000000000001,
Edgar Garcia,Reds,pitcher,19276,25,5.21,1.52,0,1,25,-2.8,-11.719999999999999,
Edgar Santana,Pirates,pitcher,17355,18,4.68,1.42,0,1,15,-2.81,-11.719999999999999,
Robert Dugger,Mariners,pitcher,19191,24,5.21,1.43,0,1,19,-2.81,-11.74,
Derek Law,NA,pitcher,13133,18,4.7,1.47,0,1,17,-2.81,-11.75,
Aaron Fletcher,Mariners,pitcher,22052,12,4.11,1.39,0,1,12,-2.82,-11.77,
David Hess,NA,pitcher,16130,12,4.61,1.32,0,1,12,-2.82,-11.77,
Tyler Johnson,White Sox,pitcher,sa915688,12,4.39,1.39,0,1,13,-2.83,-11.780000000000001,
Rogelio Armenteros,Nationals,pitcher,17679,18,4.9,1.43,0,1,16,-2.83,-11.780000000000001,
Francis Martes,Astros,pitcher,17303,10,4.14,1.37,0,1,12,-2.83,-11.8,
Kyle Dohy,Phillies,pitcher,sa3004861,15,4.47,1.55,0,1,18,-2.84,-11.809999999999999,
Garrett Cleavinger,Phillies,pitcher,17897,12,4.22,1.47,0,1,14,-2.84,-11.82,
Jesse Biddle,Reds,pitcher,11437,12,4.22,1.44,0,1,13,-2.84,-11.83,
Jose Ruiz,White Sox,pitcher,14552,15,4.78,1.44,0,1,15,-2.85,-11.84,
Will Vest,Mariners,pitcher,sa3004101,15,4.54,1.43,0,1,13,-2.86,-11.86,
Angel Perdomo,Brewers,pitcher,17759,12,4.38,1.47,0,1,14,-2.86,-11.870000000000001,
Kyle Funkhouser,Tigers,pitcher,19456,22,4.92,1.53,0,1,20,-2.86,-11.870000000000001,
Arodys Vizcaino,NA,pitcher,5498,12,4.51,1.39,0,1,12,-2.86,-11.879999999999999,
Isaac Mattson,Orioles,pitcher,sa915667,15,4.75,1.46,0,1,15,-2.86,-11.879999999999999,
Johan Oviedo,Cardinals,pitcher,22487,45,5.53,1.65,0,2,36,-2.86,-11.89,
Wandisson Charles,Athletics,pitcher,sa874818,21,4.9,1.58,0,1,22,-2.87,-11.89,
Sean Poppen,Pirates,pitcher,19583,18,4.73,1.5,0,1,16,-2.88,-11.91,
Jimmy Lambert,White Sox,pitcher,19541,12,4.63,1.39,0,1,12,-2.88,-11.92,
Brandon Bailey,Reds,pitcher,19582,18,5.02,1.48,0,1,17,-2.88,-11.92,
Robert Stock,Cubs,pitcher,6576,10,4.08,1.41,0,1,11,-2.88,-11.92,
Matt Peacock,Diamondbacks,pitcher,sa3004019,14,4.14,1.45,0,1,11,-2.88,-11.92,
David Bednar,Padres,pitcher,19569,10,4.15,1.36,0,1,10,-2.88,-11.92,
Nick Sandlin,NA,pitcher,sa3006820,10,4.3,1.38,0,1,11,-2.88,-11.92,
Edwar Colina,Twins,pitcher,20589,15,4.73,1.46,0,1,14,-2.88,-11.940000000000001,
Franklyn Kilome,Mets,pitcher,17861,15,4.74,1.46,0,1,14,-2.89,-11.940000000000001,
Albert Abreu,Yankees,pitcher,17485,20,5.12,1.51,0,1,19,-2.89,-11.940000000000001,
Carson Fulmer,Pirates,pitcher,18311,22,5.05,1.55,0,1,21,-2.89,-11.95,
Scott Moss,Indians,pitcher,sa738902,12,4.61,1.41,0,1,12,-2.89,-11.95,
Tommy Doyle,Rockies,pitcher,21281,20,4.93,1.52,0,1,18,-2.89,-11.95,
Dan Otero,NA,pitcher,7385,15,4.47,1.41,0,1,10,-2.9,-11.98,
Michel Baez,Padres,pitcher,20100,10,4.33,1.38,0,1,10,-2.9,-11.99,
Jerry Blevins,Mets,pitcher,7841,15,4.95,1.48,0,1,15,-2.91,-12,
Joel Payamps,Red Sox,pitcher,14332,10,4.45,1.33,0,1,9,-2.91,-12.01,
Junior Fernandez,Cardinals,pitcher,18496,15,4.6,1.51,0,1,14,-2.91,-12.02,
Ty Tice,Blue Jays,pitcher,sa3004015,15,4.8,1.5,0,1,14,-2.93,-12.06,
Ian Krol,Tigers,pitcher,10066,16,4.8,1.5,0,1,14,-2.93,-12.07,
Javy Guerra,NA,pitcher,7407,18,5.08,1.46,0,1,14,-2.93,-12.08,
Brooks Kriske,Yankees,pitcher,21189,15,5.14,1.51,0,1,16,-2.94,-12.08,
Edubray Ramos,NA,pitcher,16086,18,5.29,1.48,0,1,16,-2.94,-12.1,
Keegan Thompson,Cubs,pitcher,sa918851,18,5.31,1.46,0,1,15,-2.95,-12.11,
Phil Bickford,Brewers,pitcher,18519,22,5.37,1.54,0,1,20,-2.96,-12.15,
Jackson Kowar,NA,pitcher,sa3008273,18,5.12,1.48,0,1,14,-2.96,-12.16,
Jose Alberto Rivera,Angels,pitcher,sa3003090,42,5.54,1.7,0,2,35,-2.97,-12.16,
Edinson Volquez,NA,pitcher,3990,12,4.67,1.48,0,1,11,-2.97,-12.17,
Patrick Weigel,Braves,pitcher,17792,12,4.82,1.46,0,1,11,-2.97,-12.17,
J.B. Bukauskas,Diamondbacks,pitcher,sa829263,18,4.99,1.55,0,1,16,-2.97,-12.17,
Jake Woodford,Cardinals,pitcher,18674,29,5.36,1.54,0,1,22,-2.97,-12.18,
Ashton Goudeau,Orioles,pitcher,15139,12,4.89,1.42,0,1,10,-2.97,-12.18,
Antonio Santos,Rockies,pitcher,20383,27,5.58,1.49,0,1,19,-3,-12.25,
Tom Hackimer,Twins,pitcher,sa872726,15,5.12,1.54,0,1,14,-3.01,-12.28,
Nolan Blackwood,NA,pitcher,sa874212,12,4.6,1.52,0,1,10,-3.01,-12.29,
Jefry Rodriguez,NA,pitcher,17018,18,5.11,1.56,0,1,14,-3.05,-12.39,
Carlos Sanabria,NA,pitcher,16634,22,5.4,1.61,0,1,20,-3.06,-12.41,
Dedniel Nunez,Giants,pitcher,sa3004203,12,4.91,1.54,0,1,10,-3.06,-12.42,
Angel Rondon,Cardinals,pitcher,sa917908,18,5.44,1.53,0,1,14,-3.07,-12.44,
Dakota Bacus,Nationals,pitcher,14545,12,4.94,1.55,0,1,10,-3.07,-12.45,
Tucker Davidson,Braves,pitcher,19871,9,4.81,1.54,0,1,8,-3.08,-12.49,
Scott Blewett,Royals,pitcher,16427,12,5.27,1.49,0,1,9,-3.09,-12.49,
Sam Delaplane,Mariners,pitcher,sa3004222,10,3.95,1.32,0,0,11,-3.09,-12.5,
John Brebbia,Giants,pitcher,12777,10,4.34,1.29,0,0,10,-3.13,-12.61,
Mac Sceroler,Orioles,pitcher,sa915799,35,5.62,1.61,0,1,27,-3.13,-12.62,
Silvino Bracho,Giants,pitcher,15051,10,4.27,1.32,0,0,10,-3.14,-12.64,
Seranthony Dominguez,Phillies,pitcher,19249,8,3.74,1.3,0,0,9,-3.14,-12.66,
Jimmy Nelson,NA,pitcher,10547,8,3.83,1.25,0,0,8,-3.15,-12.67,
Wyatt Mills,Mariners,pitcher,sa918372,10,4.13,1.36,0,0,10,-3.15,-12.68,
Jordan Sheffield,Rockies,pitcher,sa738245,16,5.58,1.67,0,1,15,-3.18,-12.75,
Camilo Doval,Giants,pitcher,sa916835,16,5.13,1.72,0,1,14,-3.19,-12.77,
Anthony Gose,NA,pitcher,5097,10,4.54,1.4,0,0,11,-3.19,-12.77,
Alexander Vizcaino,Yankees,pitcher,sa920272,12,5.53,1.63,0,1,10,-3.19,-12.78,
Justin Lawrence,Rockies,pitcher,sa875567,15,5.36,1.67,0,1,12,-3.2,-12.81,
Brendan McCurry,NA,pitcher,sa829486,8,4.18,1.31,0,0,8,-3.2,-12.82,
Alex Vesia,Marlins,pitcher,25007,10,4.36,1.42,0,0,10,-3.21,-12.83,
Tommy Kahnle,NA,pitcher,11384,5,3.24,1.17,0,0,6,-3.21,-12.85,
Austin Davis,Pirates,pitcher,17117,10,4.47,1.44,0,0,10,-3.23,-12.89,
Sam McWilliams,Mets,pitcher,sa829124,10,4.54,1.4,0,0,9,-3.23,-12.9,
Dylan File,Brewers,pitcher,sa3004197,10,4.68,1.34,0,0,8,-3.23,-12.91,
Edward Cabrera,Marlins,pitcher,sa920423,8,4.14,1.39,0,0,8,-3.24,-12.92,
Daniel Zamora,Mets,pitcher,17811,8,4.29,1.38,0,0,8,-3.24,-12.93,
Ben Bowden,Rockies,pitcher,sa873701,10,4.75,1.47,0,0,11,-3.25,-12.94,
Daniel Castano,Marlins,pitcher,19805,10,4.21,1.4,0,0,7,-3.25,-12.96,
Anthony Banda,Giants,pitcher,14706,8,4.2,1.38,0,0,7,-3.26,-12.98,
Nick Mears,Pirates,pitcher,25376,8,4.42,1.45,0,0,9,-3.26,-12.98,
Nivaldo Rodriguez,Astros,pitcher,22449,10,4.8,1.43,0,0,9,-3.28,-13.02,
Seth Romero,Nationals,pitcher,21333,8,4.35,1.44,0,0,8,-3.28,-13.02,
Chad Sobotka,Braves,pitcher,17470,8,4.55,1.43,0,0,8,-3.29,-13.05,
Dakota Chalmers,Twins,pitcher,sa875017,37,6.06,1.74,0,2,28,-3.29,-13.05,
Ryan Weathers,Padres,pitcher,sa3008436,28,5.55,1.64,0,1,17,-3.29,-13.07,
Jacob Waguespack,Blue Jays,pitcher,18318,8,4.56,1.4,0,0,7,-3.3,-13.08,
Domingo Tapia,Mariners,pitcher,12178,8,4.45,1.43,0,0,7,-3.3,-13.09,
Sam Clay,Nationals,pitcher,sa828815,8,4.02,1.5,0,0,7,-3.31,-13.1,
Ruben Alaniz,NA,pitcher,10819,8,4.72,1.45,0,0,8,-3.31,-13.11,
Rico Garcia,Giants,pitcher,20023,5,4.04,1.32,0,0,5,-3.32,-13.13,
Humberto Castellanos,Astros,pitcher,21183,8,4.7,1.43,0,0,7,-3.32,-13.14,
Steven Fuentes,Nationals,pitcher,sa828326,5,4.06,1.37,0,0,5,-3.33,-13.18,
Nick Ramirez,NA,pitcher,12575,5,4.27,1.41,0,0,5,-3.35,-13.23,
Mike Kickham,NA,pitcher,11618,5,4.45,1.39,0,0,5,-3.36,-13.24,
Brian Howard,NA,pitcher,sa918377,5,4.36,1.33,0,0,4,-3.36,-13.24,
Vladimir Gutierrez,Reds,pitcher,sa952977,9,5.33,1.46,0,0,8,-3.36,-13.25,
Matt Magill,NA,pitcher,3950,5,4.64,1.38,0,0,5,-3.36,-13.25,
Neftali Feliz,NA,pitcher,18,10,5.2,1.52,0,0,9,-3.36,-13.26,
Mauricio Llovera,Phillies,pitcher,20080,5,4.63,1.39,0,0,5,-3.36,-13.26,
Adam Warren,Yankees,pitcher,9029,10,5.36,1.5,0,0,9,-3.37,-13.27,
Justin Steele,Cubs,pitcher,sa828960,5,4.44,1.43,0,0,5,-3.37,-13.27,
Joe Gatto,Rangers,pitcher,sa828693,8,4.83,1.52,0,0,7,-3.37,-13.29,
Jasseel De La Cruz,Braves,pitcher,sa879559,5,4.53,1.45,0,0,5,-3.38,-13.3,
Emilio Vargas,White Sox,pitcher,sa736761,9,5.43,1.48,0,0,8,-3.38,-13.3,
Bryan Mata,Red Sox,pitcher,sa917784,5,4.43,1.49,0,0,5,-3.38,-13.32,
Jeremy Walker,Braves,pitcher,19981,5,4.46,1.41,0,0,4,-3.39,-13.32,
Clay Holmes,Pirates,pitcher,13649,5,4.46,1.53,0,0,5,-3.4,-13.35,
Max Kranick,Pirates,pitcher,sa919118,18,6.16,1.67,0,1,11,-3.4,-13.36,
Tyler Bashlor,Pirates,pitcher,15203,8,5.31,1.53,0,0,7,-3.41,-13.39,
Grant Gavin,NA,pitcher,sa918674,5,5.05,1.49,0,0,5,-3.41,-13.39,
Durbin Feltman,Red Sox,pitcher,sa3007959,5,4.9,1.52,0,0,5,-3.41,-13.4,
Hector Perez,Blue Jays,pitcher,18592,5,4.97,1.52,0,0,5,-3.42,-13.41,
Reggie McClain,Yankees,pitcher,19311,5,4.8,1.47,0,0,4,-3.42,-13.41,
Andre Jackson,Dodgers,pitcher,sa829605,10,5.08,1.64,0,0,9,-3.42,-13.43,
Anthony Castro,Blue Jays,pitcher,19789,5,5.02,1.54,0,0,5,-3.43,-13.43,
Jose Mujica,Rockies,pitcher,17821,8,5.39,1.51,0,0,6,-3.43,-13.45,
Gray Fenter,Cubs,pitcher,sa875233,25,5.85,1.79,0,1,21,-3.44,-13.47,
Joey Wentz,Tigers,pitcher,sa917946,9,5.55,1.54,0,0,7,-3.44,-13.48,
Ryan Rolison,NA,pitcher,sa3008244,28,6.07,1.68,0,1,18,-3.46,-13.54,
Jose Soriano,Pirates,pitcher,sa916702,14,6.2,1.95,0,1,11,-3.54,-13.76,
Jason Foley,NA,pitcher,sa915677,8,5.98,1.75,0,0,6,-3.59,-13.87,
Luis Oviedo,Pirates,pitcher,sa917344,12,6.12,1.83,0,0,8,-3.72,-14.23,
Ryan Castellani,Rockies,pitcher,16377,132,6.52,1.73,0,5,93,-3.92,-14.78,
